date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:21	12786/12786	---MCZ	200	added ('OK')	text/html	etag:W/%2267657db8-31f2%22	https://argoxi.neocities.org/	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/index.html	(from )
19:17:21	638/638	---M--	404	error ('Not%20Found')	text/html	etag:%226305f29b-27e%22	https://argoxi.neocities.org/robots.txt		(from )
19:17:21	4939/4939	---MCZ	200	added ('OK')	text/css	etag:W/%2267657e26-134b%22	https://argoxi.neocities.org/stylesheets/style.css	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/stylesheets/style.css	(from https://argoxi.neocities.org/)
19:17:21	638/638	---M--	404	error ('Not%20Found')	text/html	etag:%226305f29b-27e%22	https://argoxi.neocities.org/borderimagetest.png	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/borderimagetest.png	(from https://argoxi.neocities.org/)
19:17:21	7549/7549	---M--	200	added ('OK')	image/png	etag:%226632eb83-1d7d%22	https://argoxi.neocities.org/graphics/custom/frame2.png	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/graphics/custom/frame2.png	(from https://argoxi.neocities.org/)
19:17:21	1631/1631	---M--	200	added ('OK')	image/png	etag:%226632eb89-65f%22	https://argoxi.neocities.org/graphics/custom/tl2.png	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/graphics/custom/tl2.png	(from https://argoxi.neocities.org/)
19:17:22	2362/2362	---M--	200	added ('OK')	image/png	etag:%226632eb89-93a%22	https://argoxi.neocities.org/graphics/custom/top2.png	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/graphics/custom/top2.png	(from https://argoxi.neocities.org/)
19:17:22	1637/1637	---M--	200	added ('OK')	image/png	etag:%226632eb8a-665%22	https://argoxi.neocities.org/graphics/custom/tr2.png	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/graphics/custom/tr2.png	(from https://argoxi.neocities.org/)
19:17:22	1535/1535	---M--	200	added ('OK')	image/png	etag:%226632ef3e-5ff%22	https://argoxi.neocities.org/graphics/custom/left2.png	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/graphics/custom/left2.png	(from https://argoxi.neocities.org/)
19:17:22	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:21%20GMT	https://argoxi.neocities.org/sitemap.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/sitemap.html	(from https://argoxi.neocities.org/)
19:17:23	3666/3666	---MCZ	200	added ('OK')	text/html	etag:W/%226632ee51-e52%22	https://argoxi.neocities.org/sitemap	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/sitemap.html	(from https://argoxi.neocities.org/)
19:17:23	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:22%20GMT	https://argoxi.neocities.org/about.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/about.html	(from https://argoxi.neocities.org/)
19:17:23	8764/8764	---MCZ	200	added ('OK')	text/html	etag:W/%226643f50a-223c%22	https://argoxi.neocities.org/about	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/about.html	(from https://argoxi.neocities.org/)
19:17:23	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:22%20GMT	https://argoxi.neocities.org/links.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/links.html	(from https://argoxi.neocities.org/)
19:17:24	15669/15669	---MCZ	200	added ('OK')	text/html	etag:W/%2266ed77c0-3d35%22	https://argoxi.neocities.org/links	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/links.html	(from https://argoxi.neocities.org/)
19:17:24	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:23%20GMT	https://argoxi.neocities.org/newspaper.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/newspaper.html	(from https://argoxi.neocities.org/)
19:17:24	6943/6943	---MCZ	200	added ('OK')	text/html	etag:W/%226783b674-1b1f%22	https://argoxi.neocities.org/newspaper	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/newspaper.html	(from https://argoxi.neocities.org/)
19:17:24	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:23%20GMT	https://argoxi.neocities.org/gallery.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/gallery.html	(from https://argoxi.neocities.org/)
19:17:25	8543/8543	---MCZ	200	added ('OK')	text/html	etag:W/%2266d06ae7-215f%22	https://argoxi.neocities.org/gallery	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/gallery.html	(from https://argoxi.neocities.org/)
19:17:25	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:24%20GMT	https://argoxi.neocities.org/wardrobe.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/wardrobe.html	(from https://argoxi.neocities.org/)
19:17:25	2066/2066	---MCZ	200	added ('OK')	text/html	etag:W/%226632ee4b-812%22	https://argoxi.neocities.org/wardrobe	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/wardrobe.html	(from https://argoxi.neocities.org/)
19:17:25	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:24%20GMT	https://argoxi.neocities.org/fanpages/bg3.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/fanpages/bg3.html	(from https://argoxi.neocities.org/)
19:17:26	22562/22562	---MCZ	200	added ('OK')	text/html	etag:W/%2267657de8-5822%22	https://argoxi.neocities.org/fanpages/bg3	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/fanpages/bg3.html	(from https://argoxi.neocities.org/)
19:17:26	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:25%20GMT	https://argoxi.neocities.org/oc/Yuval.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/oc/Yuval.html	(from https://argoxi.neocities.org/)
19:17:26	4885/4885	---MCZ	200	added ('OK')	text/html	etag:W/%226632ee07-1315%22	https://argoxi.neocities.org/oc/Yuval	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/oc/Yuval.html	(from https://argoxi.neocities.org/)
19:17:26	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:25%20GMT	https://argoxi.neocities.org/bookshelf/kanjoushiki.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/bookshelf/kanjoushiki.html	(from https://argoxi.neocities.org/)
19:17:27	8376/8376	---MCZ	200	added ('OK')	text/html	etag:W/%2265613564-20b8%22	https://argoxi.neocities.org/bookshelf/kanjoushiki	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/bookshelf/kanjoushiki.html	(from https://argoxi.neocities.org/)
19:17:27	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2017:17:26%20GMT	https://argoxi.neocities.org/bookshelf/junkdump.html	C:/Users/moham/Downloads/MemeTokens/framer/https___argoxi.neocities.org_/argoxi.neocities.org/bookshelf/junkdump.html	(from https://argoxi.neocities.org/)
